,N,t,CD_mse,DS_mse,GPA_CD_mse,GPA_DS_mse,CD_time,DS_time,GPA_CD_time,GPA_DS_time
76,100,76,0.12534313,0.018360049,0.12472614,0.018429281,0.4295629000663758,0.43096983909606934,0.0005606508255004882,0.0005139017105102539
77,100,77,0.113878414,0.015688103,0.113189355,0.015689248,0.436561679840088,0.43792573690414455,0.0005230998992919923,0.00047772169113159164
78,100,78,0.113637716,0.016202332,0.112921104,0.016032808,0.3975596117973329,0.3989187455177307,0.0005293846130371094,0.00048484802246093764
79,100,79,0.11604259,0.016776042,0.11516762,0.016521305,0.4286308717727662,0.43007721185684206,0.0005815052986145019,0.0005324697494506837
80,100,80,0.119671986,0.016118728,0.11886976,0.016015735,0.40826001882553103,0.4096558594703675,0.0005461812019348142,0.0005009722709655765
81,100,81,0.11410999,0.017266557,0.1134758,0.017147949,0.41777710437774646,0.4191216301918031,0.0005294609069824219,0.0004875588417053224
82,100,82,0.11736806,0.017588228,0.116831675,0.017720744,0.43437377929687504,0.43582486867904663,0.0005756402015686037,0.0005275988578796386
83,100,83,0.10970756,0.0152762355,0.10909192,0.01524485,0.46175083160400376,0.46315575361251826,0.0005507922172546389,0.0005071210861206055
84,100,84,0.11513,0.016910115,0.11434195,0.01674516,0.3977815151214599,0.3991696882247925,0.0005352592468261719,0.0004949474334716798
85,100,85,0.123101,0.017576762,0.12227697,0.017391806,0.43583309173583984,0.43722957134246837,0.0005376648902893064,0.0004968762397766114
86,100,86,0.119487785,0.016916987,0.118874855,0.016992135,0.4034901189804077,0.4048869466781616,0.0005455923080444335,0.0005003857612609864
87,100,87,0.12379841,0.016507935,0.123129725,0.016466174,0.42940044403076155,0.43077358484268186,0.0005298590660095213,0.0004862236976623535
88,100,88,0.111532524,0.016906222,0.11071216,0.01682622,0.4080890369415282,0.4094681334495545,0.0005390381813049313,0.0004941844940185547
89,100,89,0.12310749,0.018170139,0.12229056,0.018002529,0.4472994589805604,0.4487361717224122,0.0005560946464538572,0.0005068159103393555
90,100,90,0.117986985,0.017197942,0.117185816,0.016988287,0.40671206712722785,0.4081271529197691,0.00054046630859375,0.0004984331130981446
91,100,91,0.11323963,0.015496965,0.11259648,0.015542921,0.4373176002502442,0.43868759632110615,0.0005281352996826174,0.0004817223548889159
92,100,92,0.12480332,0.017728753,0.12385728,0.01754662,0.44582435607910165,0.4472909140586854,0.0005841851234436036,0.0005403876304626464
93,100,93,0.117575236,0.017074982,0.11682722,0.016938323,0.40673599481582645,0.40811419725418085,0.000527007579803467,0.00048433542251586926
94,100,94,0.12652697,0.017160267,0.12575571,0.01710866,0.40584452152252215,0.40722977399826044,0.0005383491516113281,0.0004931426048278809
95,100,95,0.11805155,0.017644683,0.11729681,0.01755492,0.40501850366592407,0.40636438131332403,0.0005178904533386231,0.0004761266708374023
96,100,96,0.11234558,0.015859911,0.11167346,0.01575283,0.40176717519760113,0.4031896996498107,0.0005620574951171875,0.0005201387405395508
97,100,97,0.116349235,0.017089983,0.11551421,0.016853191,0.4060436892509463,0.40741103649139404,0.0005284404754638672,0.00048162460327148414
98,100,98,0.12103871,0.01714156,0.12022775,0.017083436,0.3980534243583681,0.39946853876113897,0.0005462670326232912,0.0005045771598815918
99,100,99,0.121119775,0.017070636,0.12039955,0.01699806,0.41347200870513917,0.4149222636222839,0.0005600595474243163,0.0005118823051452636
